Bayer Name,Common Name,Apparent V Mag,Distance,Absolute V Mag,Color,Near/Bright
Beta Sco,Acrab,2.5,123.92,-2.97,-0.08,Bright
V645 Centauri,Proxima Centauri,11.13,1.3,15.56,1.82,Near
,Barnard's Star,9.51,1.83,13.2,1.73,Near
CN Leonis,Wolf 359,13.51,2.42,16.59,2.03,Near
Lalande 21185,,7.52,2.55,10.49,1.44,Near
,Sirius B,8.44,2.65,11.32,-0.03,Near
Luyten 726-8,,12.08,2.67,14.95,1.85,Near
V1216 Sagittarii,Ross 154,10.43,2.98,13.06,1.76,Near
HH Andromedae,Ross 248,12.23,3.16,14.73,1.92,Near
Epsilon Eri,Ran,3.73,3.22,6.19,0.88,Both
Gliese 887,Lacaille 9352,7.34,3.29,9.76,1.48,Near
FI Virginis,Ross 128,11.15,3.37,13.51,1.76,Near
EZ Aquarii,,12.38,3.41,14.72,1.95,Near
61 Cygni A,,5.21,3.5,7.49,1.18,Both
61 Cygni B,,6.03,3.49,8.31,1.37,Both
,Procyon B,10.92,3.5,13.2,-0.22,Near
Struve 2398 A,,8.94,3.53,11.2,1.53,Near
Struve 2398 B,,9.71,3.53,11.97,1.59,Near
Groombridge 34 A,,8.12,3.56,10.36,1.56,Near
Groombridge 34 B,,11,3.56,13.24,1.8,Near
DX Cancri,,14.81,3.58,17.04,2.08,Near
Tau Ceti,,3.5,3.65,5.69,0.72,Both
Epsilon Indi,,4.69,3.64,6.89,1.06,Both
Gliese 1061,,13.07,3.67,15.24,1.91,Near
YZ Ceti,,12.07,3.71,14.22,1.82,Near
Luyten's Star,,9.87,3.8,11.97,1.57,Near
Teegarden's Star,,15.4,3.83,17.48,1.81,Near
Kapteyn's Star,,8.85,3.93,10.88,1.58,Near
Lacaille 8760,,6.68,3.97,8.69,1.41,Near
Kruger 60 A,,9.59,4.04,11.56,1.65,Near
Kruger 60 B,,11.4,4.04,13.37,1.8,Near
Ross 614,,11.07,4.12,13,1.69,Near
Wolf 1061,,10.07,4.31,11.9,1.57,Near
